x, y, date
363,323,15:40:42
362,323,15:40:42
361,323,15:40:42
360,322,15:40:42
360,322,15:40:42
357,320,15:40:43
357,319,15:40:43
359,321,15:40:43
362,323,15:40:43
362,323,15:40:44
363,323,15:40:44
361,319,15:40:44
361,317,15:40:44
363,318,15:40:45
362,317,15:40:45
361,315,15:40:45
353,308,15:40:47
361,318,15:40:47
359,316,15:40:48
358,315,15:40:48
358,315,15:40:48
361,318,15:40:48
361,315,15:40:48
372,322,15:40:49
340,297,15:40:52
336,294,15:40:52
333,291,15:40:53
332,289,15:40:53
331,286,15:40:53
329,284,15:40:53
327,282,15:40:53
325,280,15:40:54
323,278,15:40:54
321,276,15:40:54
320,275,15:40:54
321,275,15:40:55
322,276,15:40:55
322,276,15:40:55
322,276,15:40:55
320,274,15:40:55
306,261,15:40:56
273,227,15:40:56
233,189,15:40:56
198,155,15:40:56
180,137,15:40:57
166,127,15:40:57
158,118,15:40:57
131,88,15:40:57
103,59,15:40:58
104,63,15:40:58
127,85,15:40:58
147,105,15:40:58
166,124,15:40:58
207,164,15:40:59
265,221,15:40:59
328,285,15:40:59
386,345,15:40:59
435,395,15:41:00
478,437,15:41:00
502,463,15:41:00
528,490,15:41:00
540,501,15:41:01
544,505,15:41:01
540,501,15:41:01
530,492,15:41:01
517,477,15:41:01
